id	filename	md5	size	state
264dcf63-5a00-403a-90f6-69fe6deb0866	unc.edu.85e48131-0ef8-4b94-986a-3829ccad6d25.1756164.bt.exon_quantification.txt	cbaddebb95584f3dcadb7ee10ac6dcce	12935588	live
266c8cc8-d894-4c20-abf1-87a5f1affdb6	unc.edu.9675123f-6606-4e75-be55-3ef938c72178.1753517.bt.exon_quantification.txt	a13d8cb78f56f106627ef2d1e9d319ee	12766402	live
26a5d7cd-da6d-4818-b638-ab9ca484e871	unc.edu.419e456e-40fc-4bc7-8b9f-c54d9935b7e2.2394749.bt.exon_quantification.txt	1f211792db4af5984bda7b3bf00e0060	12666175	live
26d15970-1141-4674-9c2e-b323cb065a0b	unc.edu.369853c1-dc8d-45cc-8131-7ce625ac3020.1969534.bt.exon_quantification.txt	73bc3d1a963328273e203a5585841cce	12655047	live
273f12e8-caad-4068-927d-bffdd2185a4b	unc.edu.49dda006-76b0-4088-8221-2bbfb1ac22f7.1752725.bt.exon_quantification.txt	df305c50c9b8c949c1b29d69e4d1d651	12769909	live
285deeb4-514c-4474-b986-2385c17d9c76	unc.edu.063f416b-291b-4242-acb4-9587a2dc3244.1756891.bt.exon_quantification.txt	ed2ec925a7ac0401d4287762f6a6b179	12761412	live
28bd35d2-a013-4208-844e-67a806913a5d	unc.edu.c995e591-f2b7-4c3e-ae81-9e72b9548b57.2044616.bt.exon_quantification.txt	f0ab5aab1e1898cedc54294316a7f0a1	12698839	live
292ba5f6-7813-461a-ac96-b1a6e917a087	unc.edu.9d16eccb-44fa-4188-9ad2-3a17ed821247.2045138.bt.exon_quantification.txt	8e7fbff1a36d46ef99b553bf7346191d	12329275	live
2a0e1de8-0668-4850-8e9b-6f19f3850246	unc.edu.d5cb344a-fec2-4370-88ef-4837ae8573dc.2394816.bt.exon_quantification.txt	c99eac7963f6c78e867f7eea0b7af9e6	12733272	live
2a0ef35f-53b4-4f8f-b023-156652cb0caf	unc.edu.b304cf7b-274d-4617-9830-459601eedc10.1760117.bt.exon_quantification.txt	c4d8993959447a7da3462dbebba27eb2	12773032	live
2a22a04f-f50a-412a-8555-0294eab8288e	unc.edu.ae29efe9-4446-4f0a-b765-f04e3935d7a8.2316277.bt.exon_quantification.txt	ef0d104ddab7893b2cc3345407495961	12600809	live
2a597ce9-6173-49c4-b21a-38a5695bea03	unc.edu.bbc5dea9-50e1-44b7-9d43-82896b9229b5.2014692.bt.exon_quantification.txt	2fc1a6eaa8f516c59e124135d294b8e6	12563751	live
2b20a516-5a05-4b1a-8c30-1e466ef90a74	unc.edu.35900b9c-bc5c-49cc-acb4-410305e8ab64.2615135.bt.exon_quantification.txt	7e000a08fa8356d8f682f790c1bd254c	12730689	live
2b3b93aa-fb4e-4709-a20e-a88d3a471cfa	unc.edu.e6310fd5-418f-4315-8c0a-78b05a95c214.2386540.bt.exon_quantification.txt	942382255eae8135331f102d12c4a8e4	12644224	live
2bc40906-bdba-4ce3-924c-71d6f3892c65	unc.edu.a899dca6-deb0-49f8-8c8b-2854b108de5a.2381704.bt.exon_quantification.txt	e8ff8f39be470e8f2232f7f9cb5d9d38	12645107	live
2c48ee19-d02b-4c87-a5d7-c44fb29b38e2	unc.edu.f4024393-b3f0-43b4-916e-4e92cb95c084.2479963.bt.exon_quantification.txt	3f001d1828317060795a7689def2eb13	12819406	live
2d805f61-3698-44d2-aa4d-2146e7f33887	unc.edu.42b3e255-38df-41f7-a4b8-77510d467dd2.2479956.bt.exon_quantification.txt	f0f2e9ba72809498618dcda72bd34f9c	12635543	live
2dd06535-b89d-4f18-8114-7198c6748f03	unc.edu.824f212a-b8a3-429e-a8f1-df83302fa1cf.2616211.bt.exon_quantification.txt	710aeeb7eec897b35c6db0337a24029f	12829288	live
2e69095a-f674-4684-840c-8c40fb97a71b	unc.edu.a83b2830-20b3-4773-b929-733f772252ec.1754590.bt.exon_quantification.txt	069040befc9a940a02db4452563c0842	12844955	live
2f7ee0fe-c385-4a4a-8161-08d56db361cf	unc.edu.530578d1-044b-4423-bd9c-ae80a2d7fda1.2485123.bt.exon_quantification.txt	a7487098250b78bc73f169f05c587c8e	12851769	live
2f8e94bf-45d3-49e1-ae8d-dbb72da0a488	unc.edu.743ad0e2-903e-4438-a575-1f06c286c079.1756876.bt.exon_quantification.txt	0753e91138d4415284bd9b387b8f04e9	12683442	live
2fcfbbb0-eb62-4adb-88d2-839726f68e74	unc.edu.ea34e227-a427-42a6-9f42-80069e972764.2233829.bt.exon_quantification.txt	0b42bdee45126a61d95c90b80af6ff28	12848370	live
30495845-d594-4fb3-a00e-627d3a3e6188	unc.edu.daca8915-ce62-4c6b-a268-c23de4aed85e.2658730.bt.exon_quantification.txt	0ceec0b3c9959d5d6100e35b25ce0ef7	12790691	live
30c5339d-eed9-4762-9bfc-d8d13f0f1eb1	unc.edu.2bb8de70-7555-4409-b667-c11b1fb716b5.2484188.bt.exon_quantification.txt	bb6ff18121979fe8d166141648af6f61	12606860	live
3204ad23-3952-4ba4-a05f-92c778436529	unc.edu.06c95ac2-2f97-4200-9a29-a3ff8cce8697.2315470.bt.exon_quantification.txt	347e6bfa1f36b5a2ff52216ed41e6fa7	12839666	live
33a765aa-c94d-4bd7-99fb-6fa1d15508df	unc.edu.02334a5d-c3a2-4ea6-8e4e-d603a8fbc43c.1760313.bt.exon_quantification.txt	af4fb81a8ac7e825e1fbe56f443fefc6	12603060	live
33b50e92-420a-42ad-b398-682caa9725be	unc.edu.8a2f149d-34a9-4be2-8bc5-d3d25f1df7e3.1758492.bt.exon_quantification.txt	066c94d0e1aa255102652a244e6a769a	12669879	live
33cebb27-ed6f-4294-a3da-a019574151f8	unc.edu.5ed0de42-f949-4046-895b-f97853201a8d.1759924.bt.exon_quantification.txt	ad57503072c68fadf56d14e71032dff8	12541264	live
33d53ef3-4ba5-48ab-9124-9c37d7488421	unc.edu.8744dea9-5e21-47b0-9327-8177526d9d31.2400580.bt.exon_quantification.txt	0ff781de39b5da16dd6bfedbc3e0867a	12408727	live
34153979-837b-496c-a65a-04c217c5a520	unc.edu.cf7a71f6-8d7d-4833-b9b2-c40abc1654e6.1756534.bt.exon_quantification.txt	a541a8a2c7658119dd383760be6e6244	12766304	live
34d61251-043c-4d43-8644-68069435519c	unc.edu.e6f20d5c-1cb3-4e65-aeaf-1cbe64e440bf.1756637.bt.exon_quantification.txt	8fa5afe9748ad8fae9efec52d2e2301a	12972383	live
34e57327-97f3-4455-8362-75fe2d5fe69e	unc.edu.3476ee8f-8cbe-4c6e-a3f7-f53facfe585a.2317910.bt.exon_quantification.txt	07aab18abfd2474765d0c27120f59ec8	12700414	live
